Барбадос, -2.591120712528584, 0.4058405164144919 
Египет, -1.7117578535163327, 0.4058405164144919 
Малави, -0.928575307208547, -0.3636019852212279 
Сакете, -1.0384956645850778, 0.17912977932539587 
Архангельск, -0.6125542797510191, -0.10941115878799901 
Тестовый город, -3.078892298386942, -0.6040527669823904 
Новодвинск, -1.3819967813867384, -1.0643442634966158 
Произвольный город 1, -3.601013995925466, -0.34299191821312836 
Затерянный город 1, -2.9621019186743776, -1.0162541071443831 
Затерянный город 2, -1.9728187022855947, -1.0918243528407485 
Положительный город 1, -2.8934016953140382, 1.7970200394612172 
Барбадос, -2.591120712528584, 0.4058405164144919 
Египет, -1.7117578535163327, 0.4058405164144919 
Малави, -0.928575307208547, -0.3636019852212279 
Сакете, -1.0384956645850778, 0.17912977932539587 
Архангельск, -0.6125542797510191, -0.10941115878799901 
Тестовый город, -3.078892298386942, -0.6040527669823904 
Новодвинск, -1.3819967813867384, -1.0643442634966158 
Произвольный город 1, -3.601013995925466, -0.34299191821312836 
Затерянный город 1, -2.9621019186743776, -1.0162541071443831 
Затерянный город 2, -1.9728187022855947, -1.0918243528407485 
Барбадос, -2.591120712528584, 0.4058405164144919 
Египет, -1.7117578535163327, 0.4058405164144919 
Малави, -0.928575307208547, -0.3636019852212279 
Сакете, -1.0384956645850778, 0.17912977932539587 
Архангельск, -0.6125542797510191, -0.10941115878799901 
Тестовый город, -3.078892298386942, -0.6040527669823904 
Новодвинск, -1.3819967813867384, -1.0643442634966158 
Произвольный город 1, -3.601013995925466, -0.34299191821312836 
Затерянный город 1, -2.9621019186743776, -1.0162541071443831 
Затерянный город 2, -1.9728187022855947, -1.0918243528407485 
Положительный город 1, -2.8934016953140382, 1.7970200394612172 
Положительный город 3, 1.283571884994151, -2.1326327367497795 
